Infraestructura Educativa,,,,,,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Escuela,Ubicación,Director,Alumnos,Nivel,Descripción Nivel,Clase,Descripción Clase
,,,,,,,,Desconocido,,Desconocido
1,12 de diciembre,7,Inexistente,,,,99,NINGUNO,99,NINGUNO
2,27 de Septiembre,1B,"Preescolar  ""Juan Ignacio Menchaca Manjarrez"" T/M",Manuel Anaya Nº 1287,"Dir. Leonila Reyna Ramírez, ",,2,Preescolar,1,Público
3,"Abetos, Los",1B,Inexistente,,,,99,NINGUNO,99,NINGUNO
5,Agraria,1A,Instituto Educativa Integral Panamericana,Por Cto. Medas y Av. Patria,,,1,Inicial / Guarderia,2,Privado
5,Agraria,1A,"Guarderia  ""Isla del Tesoro""  T/M",Hacienda Santa Lucía Nª 104 esq. Patria e  Hipódromo Tel. 36.33.82.01,Lic. Cecilia Garduño Chávez,,1,Inicial / Guarderia,2,Privado
5,Agraria,1A,"Preescolar ""Children Village""",Av. Américas  2157 esq Hda. Sta. Lucía Tel. 38.33.92.70,Dir. Silvia Ferrer,,2,Preescolar,2,Privado
5,Agraria,1A,"Primaria, Instituto de Ciencias ""Colegio Jesuita""",Av. Ávila Camacho N° 2935,,,3,Primaria,,Desconocido
5,Agraria,1A,"Secundaria, Instituto de Ciencias ""Colegio Jesuita""",Av. Ávila Camacho N° 2935,,,4,Secundaria,,Desconocido
5,Agraria,1A,"Preparatoria Instituto de Ciencias ""Colegio Jesuita""",Av. Ávila Camacho N° 2935,,,5,Educación Media,,Desconocido
5,Agraria,1A,"Escuela de danza ""Bora-Bora"" T/V",Hacienda Sta. Lucía Nª 104 esq. Patria e Hipódromo Tel. 36.33.82.01,Profa.  Guadalupe Chávez Paulsen,,8,Otros,2,Privado
5,Agraria,1A,Centro de Computación y Electronica de Jalisco (CCEJ),"Av. Ávila Camacho N° 3017-16, Tel. 3636 3713",,,8,Otros,,Desconocido
6,"Agrícola, La",8,"Preescolar (General) ""Gabriela Mistral"" T/M",Dalia # 216,,,2,Preescolar,2,Privado
6,"Agrícola, La",8,"Kinder ""Ma. Evelina de Cosio Vidauri""",Hortencia y Obelisco.,,,2,Preescolar,,Desconocido
6,"Agrícola, La",8,"Primaria ""Tierra y Libertad""  Urbana 930 T/M ",Gladiola  No. 396  Tel. 36842914,Dir. Prof. Mauel Torres Plascencia,,3,Primaria,1,Público
6,"Agrícola, La",8,Primaria Estatal “Benito Juárez”  T/V,"Av. López Mateos Nº 3133, Tel. 36841390 y 36841496",Dir. Esthela Valdivia Hernández,,3,Primaria,1,Público
6,"Agrícola, La",8,"Primaria Estatal ""Benito Juárez"" T/M","Av. López Mateos Nº 3133, Tel. 36841315 y 3.6841311",Dir. Mtra. Lorena Benitez Carrillo,,3,Primaria,1,Público
6,"Agrícola, La",8,"Primaria ""Tierra y Libertad"" Urbana 930 T/V","Gladiola  Nª 396, Tel. 36842914",Dir. Mtra. Lorena Benitez Carrillo,,3,Primaria,1,Público
6,"Agrícola, La",8,Secundaria Técnica Federal Nº 114,"Hortencia Nº 824, 36841962",Dir. José Luis Marmolejo,"1,555",4,Secundaria,1,Público
7,Agua Blanca Poblado,8,"Preescolar ""Carmen Torres Veliz""","Degollado, entre Abasolo y Lázaro Cárdenas",,,2,Preescolar,1,Público
7,Agua Blanca Poblado,8,"PRIMARIA ""CENTRO EDUCATIVO NUEVA GENERACION"" T/M","JOSEFA ORTIZ DE DOMINGUEZ 448
",,,3,Primaria,2,Privado
7,Agua Blanca Poblado,8,"Primaria ""Benito Juárez""  T/M","Av. López Mateos Nª 3133,  Tel.36841390",Dir. Juan Carlos Hurtado Rivas,,3,Primaria,1,Público
7,Agua Blanca Poblado,8,"Primaria ""Benito Juárez""  T/V","Av. López Mateos Nª 3133, 36842914",Dir. Esthela Valdivia Hernández,,3,Primaria,1,Público
7,Agua Blanca Poblado,8,"Academia de Enseñanza ""Lord Music Center""","Av. López Mateos Sur Nº 5049, Tel. 36122600 y 36122700",Músico Juan Magdaleno Rodríguez,,8,Otros,2,Privado
8,Agua Blanca Industrial,8,"Preescolar (General) ""EDUCARE México"" T/M",Vicente Guerrero #77 ,,,2,Preescolar,2,Privado
8,Agua Blanca Industrial,8,"Preescolar ""Carmén Torres Veliz""",Degollado Nª 165,Dir. Elvia Martínez Olvera,165,2,Preescolar,1,Público
10,Agua Fría,2A,"Secundaria ""Estatal “Eleno García Ramos"" Mixta Nº 19” T/M y T/V","Ramón García Uribe Nº 360,  Tel. 33660194",Dir. Clara Leticia González Cervantes,,4,Secundaria,1,Público
11,"Águilas, Las",6,"Estancia Infantil ""Traviesitos""",Río Purificación No. 1575 y 18 de marzo,,,1,Inicial / Guarderia,2,Privado
11,"Águilas, Las",6,"Estancia Infantil ""De Bari""","Cerro Gordo S/N, Tel. 3310975945, 36320291",,,1,Inicial / Guarderia,2,Privado
11,"Águilas, Las",6,Magic Club Preescolar,Río Tuxpan No. 1516,,,2,Preescolar,2,Privado
11,"Águilas, Las",6,"Preescolar ""Rosario Castellanos""","Rio Cuitzmala No. 5304, Tel. 31339085",,,2,Preescolar,2,Privado
11,"Águilas, Las",6,"Preescolar ""Colegio Español ""   T/M",Sierra de Píhuamo No. 1762 36.32.11.87 y 36.31.08.76,Prof. Oralia Islas Rodríguez,,2,Preescolar,2,Privado
11,"Águilas, Las",6,Preescolar,Río Tequila y Francisco Villa,,,2,Preescolar,2,Privado
11,"Águilas, Las",6,"Preescolar ""María Luisa Hidalgo Riestra (Feliz Mundo)""",Sierra de Tapalpa Nº 5463 Tel. 31335533,Dir. Lic. Laura Adriana Hernández Gutiérrez,,2,Preescolar,2,Privado
11,"Águilas, Las",6,"Preescolar Centro Educativo ""Teresa de Calcuta""","Río Colotlán Nº 1619, Tel. 31333378",,,2,Preescolar,2,Privado
11,"Águilas, Las",6,"Preescolar ""Colegio Ingles Bugambilias"" T/M","Rio Verde Nª 1485 Tel. 36.34.4096, Cel. 0443331150514",Dir. Bertha Dávalos Méndez,,2,Preescolar,2,Privado
11,"Águilas, Las",6,"Preescolar ""Rosario Castellanos"" T/M","Río Tuxcacuesco Nº 868, l, Tel. 36342945",Dir.  María del Carmen Consuelo Lomelí,,2,Preescolar,1,Público
11,"Águilas, Las",6,"Preescolar ""Rosario Castellanos"" T/V","Río Tuxcacuesco Nº 868, l, Tel. 36342945",Dir.  Martha Ofelia Chávez Cárdenas,,2,Preescolar,1,Público
11,"Águilas, Las",6,Primaria Estatal “Carmen Aldrete Castillo” T/V,"Sierra de la Yesca Nº 5165, Tel. 36314229 y 34824036",Dir. Rosa María Román Flores,,3,Primaria,1,Público
11,"Águilas, Las",6,Primaria Federal “José López Portillo y Rojas” T/M,"Río Cihuatlan Nº 2763, Tel. 33443372",Dir Ma. Dolores García Talavera.,,3,Primaria,1,Público
11,"Águilas, Las",6,"PRIMARIA ""SOR JUANA INES DE LA CRUZ"" T/M","RIO TUXPAN, TEL. 36323446

",,,3,Primaria,1,Público
11,"Águilas, Las",6,Primaria Federal “Benito Juárez” T/N,"Río Cihuatlan Nº 2763, Tel. 31333334",Dir Luz Raquel Fregoso Aguayo,,3,Primaria,1,Público
11,"Águilas, Las",6,Primaria Federal “Francisco Márquez” T/V,"Río Cihuatlan Nº 2763, Tel. 36310569 y 31241654",Dir Ma. Silvia Velador Plascencia,,3,Primaria,1,Público
11,"Águilas, Las",6,Primaria “Colegio Inglés Bugambilias”  T/M,"Río Verde Nº 1485, Tel. 36344046",Dir. Bertha Dávalos Méndez,,3,Primaria,2,Privado
11,"Águilas, Las",6,"Primaria ""Colegio Español"" T/Mat","Sierra de Pihuamo Nº 1762, Tel. 36321187 y 36310876",Dir. Profa. Oralia Islas Rodríguez,,3,Primaria,2,Privado
